"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Breukelen-Sint Pieters"	11149.00	1/1/1818 0:00:00	1/1/1949 0:00:00	1029.00		6060.00	6.00	48.00		13234.00	46407.00	
"Breust"	10288.00	1/1/1812 0:00:00	3/6/1828 0:00:00				11.00					
"Brielle"	10232.00	1/1/1812 0:00:00	1/1/2009 0:00:00	501.00	501.00	8087.00	8.00	91.00		7038.00	43582.00	
"Brigdamme"	10727.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Brijdorpe"	10678.00	1/1/1812 0:00:00	1/1/1813 0:00:00				9.00					
"Broek"	11214.00	4/1/1817 0:00:00	7/1/1870 0:00:00	1030.00		8215.00	8.00	74.00		10585.00	44865.00	
"Broek in Waterland"	10289.00	1/1/1812 0:00:00	1/1/1991 0:00:00	380.00	380.00	7076.00	7.00	57.00		13011.00	49431.00	
"Broek op Langendijk"	10955.00	1/1/1812 0:00:00	8/1/1941 0:00:00	1031.00		7046.00	7.00	53.00		11516.00	52119.00	
"Broekhuizen"	10856.00	1/1/1812 0:00:00	1/1/2001 0:00:00	898.00	898.00	11028.00	11.00	120.00	37.00	20747.00	38959.00	
"Broeksittard"	10655.00	3/22/1817 0:00:00	10/1/1942 0:00:00	1032.00		11007.00	11.00	124.00		19055.00	33474.00	
"Bronckhorst"	11159.00	1/1/2005 0:00:00	1/1/2009 0:00:00	1876.00			5.00					
"Brouwershaven"	10030.00	1/1/1812 0:00:00	1/1/1997 0:00:00	656.00	656.00	9009.00	9.00	93.00	32.00	5270.00	41598.00	
"Bruchem"	10791.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Bruinisse"	11291.00	1/1/1812 0:00:00	1/1/1997 0:00:00	657.00	657.00	9070.00	9.00	93.00	32.00	6590.00	40807.00	
"Brummen"	10798.00	1/1/1812 0:00:00	1/1/2009 0:00:00	213.00	213.00	5092.00	5.00	34.00	14.00	20458.00	45831.00	
"Brunssum"	10533.00	1/1/1812 0:00:00	1/1/2009 0:00:00	899.00	899.00	11013.00	11.00	125.00	39.00	19688.00	32859.00	
"Budel"	10219.00	1/1/1812 0:00:00	1/28/1998 0:00:00	759.00	759.00	10059.00	10.00	117.00	36.00	16868.00	36371.00	
"Buggenum"	10857.00	1/1/1812 0:00:00	10/1/1942 0:00:00	1033.00		11096.00	11.00	123.00		19668.00	36090.00	
"Buiksloot"	10961.00	1/1/1812 0:00:00	1/1/1921 0:00:00	1034.00		7125.00	7.00	63.00		12322.00	49041.00	
"Buitenpost"	10199.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Bunde"	10831.00	1/1/1812 0:00:00	1/1/1982 0:00:00	900.00	900.00	11049.00	11.00	127.00	39.00	17959.00	32368.00	
"Bunnik"	10820.00	1/1/1812 0:00:00	1/1/2009 0:00:00	312.00	312.00	6036.00	6.00	45.00	17.00	14107.00	45234.00	
"Bunschoten"	11343.00	1/1/1812 0:00:00	1/1/2009 0:00:00	313.00	313.00	6014.00	6.00	43.00	17.00	15285.00	47317.00	
"Buren"	11286.00	1/1/1812 0:00:00	1/1/2009 0:00:00	214.00	214.00	5048.00	5.00	38.00	16.00	15094.00	43592.00	
"Burgh"	11000.00	1/1/1812 0:00:00	1/1/1961 0:00:00	1035.00		9055.00	9.00	93.00	32.00	3972.00	41167.00	
"Burum"	10039.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Bussum"	10281.00	5/1/1817 0:00:00	1/1/2009 0:00:00	381.00	381.00	7013.00	7.00	67.00	24.00	14005.00	47574.00	
"Buttinge en Zandvoort"	11443.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Buurmalsen"	10460.00	1/1/1818 0:00:00	1/1/1978 0:00:00	215.00	215.00	5040.00	5.00	38.00	16.00	14705.00	43555.00	
"Cabauw"	11275.00	4/1/1817 0:00:00	9/8/1857 0:00:00	1310.00		6081.00	6.00	49.00		12170.00	44165.00	
"Cadier"	11447.00	1/1/1812 0:00:00	8/5/1828 0:00:00				11.00					
"Cadier en Keer"	11447.00	8/5/1828 0:00:00	1/1/1982 0:00:00	901.00	901.00	11029.00	11.00	127.00	39.00	18216.00	31583.00	
"Cadzand"	11002.00	1/1/1812 0:00:00	4/1/1970 0:00:00	658.00	658.00	9081.00	9.00	98.00	31.00	1715.00	37673.00	
"Callantsoog"	10559.00	5/1/1817 0:00:00	1/1/1990 0:00:00	382.00	382.00	7095.00	7.00	52.00	18.00	10932.00	54008.00	
"Capelle"	11233.00	1/1/1812 0:00:00	1/1/1923 0:00:00	1036.00		10158.00	10.00	106.00		12782.00	41175.00	
"Capelle aan den IJssel"	11248.00	1/1/1812 0:00:00	1/1/2009 0:00:00	502.00	502.00	8078.00	8.00	88.00		9965.00	43910.00	
"Capelle en Botland"	10207.00	1/1/1812 0:00:00	1/1/1813 0:00:00				9.00					
"Castricum"	11287.00	1/1/1812 0:00:00	1/1/2009 0:00:00	383.00	383.00	7081.00	7.00	55.00	20.00	10502.00	50790.00	
"Catharijne"	11063.00	1/1/1818 0:00:00	8/1/1823 0:00:00				6.00					
"Chaam"	11433.00	1/1/1812 0:00:00	1/1/1997 0:00:00	760.00	760.00	10038.00	10.00	104.00	33.00	11869.00	39135.00	
"Charlois"	10430.00	1/1/1812 0:00:00	2/28/1895 0:00:00	1037.00		8180.00	8.00	84.00		9112.00	43346.00	
"Cillaarshoek"	10833.00	4/1/1817 0:00:00	1/1/1832 0:00:00	1311.00		8241.00	8.00	90.00		9634.00	42074.00	
"Clinge"	10965.00	1/1/1812 0:00:00	4/1/1970 0:00:00	659.00	659.00	9104.00	9.00	100.00	31.00	6818.00	36995.00	
"Coevorden"	10383.00	1/1/1812 0:00:00	1/1/2009 0:00:00	109.00	109.00	3009.00	3.00	18.00	8.00	24619.00	51896.00	
"Colijnsplaat"	10121.00	1/1/1812 0:00:00	4/1/1941 0:00:00	1038.00		9033.00	9.00	97.00		4687.00	40076.00	
"Cothen"	11316.00	1/1/1812 0:00:00	1/1/1996 0:00:00	314.00	314.00	6028.00	6.00	45.00	17.00	14785.00	44502.00	
"Cranendonck"	10219.00	1/28/1998 0:00:00	1/1/2009 0:00:00	1706.00			10.00					
"Cromstrijen"	11346.00	1/1/1984 0:00:00	1/1/2009 0:00:00	611.00	611.00	8138.00	8.00	90.00		9078.00	41641.00	
"Cromvoirt"	10053.00	1/1/1812 0:00:00	1/1/1933 0:00:00	1039.00		10159.00	10.00	110.00		14460.00	41012.00	
"Cuijk"	10023.00	1/1/1994 0:00:00	1/1/2009 0:00:00	1684.00			10.00					
"Cuijk en Sint Agatha"	10023.00	1/1/1812 0:00:00	1/1/1994 0:00:00	761.00	761.00	10147.00	10.00	119.00	35.00	18913.00	41479.00	
"Culemborg"	10342.00	1/1/1812 0:00:00	1/1/2009 0:00:00	216.00	216.00	5038.00	5.00	38.00	16.00	14219.00	44003.00	
"Dalem"	11376.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Dalen"	11004.00	1/1/1812 0:00:00	1/1/1998 0:00:00	110.00	110.00	3008.00	3.00	17.00	8.00	25281.00	52299.00	
"Dalfsen"	11007.00	1/1/1812 0:00:00	1/1/2009 0:00:00	148.00	148.00	4023.00	4.00	20.00	10.00	21437.00	50200.00	
"Dantumadeel"	10650.00	10/1/1816 0:00:00	1/1/2009 0:00:00	65.00	65.00	2038.00	2.00	9.00	4.00	19371.00	58743.00	
"Dantumawoude"	10650.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Darthuizen"	11168.00	1/1/1818 0:00:00	9/8/1857 0:00:00	1312.00		6085.00	6.00	44.00		15490.00	44776.00	
"De Bilt"	10168.00	1/1/1812 0:00:00	1/1/2009 0:00:00	310.00	310.00	6011.00	6.00	44.00	17.00	14127.00	46052.00	
"De Knijpe"	11018.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"De Lier"	10241.00	1/1/1812 0:00:00	1/1/2004 0:00:00	552.00	552.00	8088.00	8.00	81.00	27.00	7669.00	44356.00	
"De Marne"	10180.00	1/1/1992 0:00:00	1/1/2009 0:00:00	1663.00			1.00					
"De Mijl"	11360.00	4/1/1817 0:00:00	4/15/1857 0:00:00	1345.00		8223.00	8.00	90.00		10145.00	42278.00	
"De Rijp"	11417.00	1/1/1812 0:00:00	8/1/1970 0:00:00	440.00	440.00	7004.00	7.00	56.00	23.00	11816.00	50766.00	
"De Ronde Venen"	11379.00	1/1/1989 0:00:00	1/1/2009 0:00:00	736.00	736.00	6066.00	6.00	48.00	17.00	12444.00	46995.00	
"De Vennip"	10541.00	4/1/1817 0:00:00	8/15/1855 0:00:00	1385.00		8191.00	8.00	68.00		10189.00	47800.00	
"De Vuursche"	11441.00	1/1/1818 0:00:00	9/8/1857 0:00:00	1392.00		6083.00	6.00	44.00		14423.00	46612.00	
"De Werken en Sleeuwijk"	10116.00	1/1/1812 0:00:00	10/1/1950 0:00:00	1222.00		10109.00	10.00	105.00		12322.00	42276.00	
"De Wijk"	10753.00	1/1/1812 0:00:00	1/1/1998 0:00:00	135.00	135.00	3004.00	3.00	18.00	9.00	21683.00	52281.00	
"De Wolden"	10262.00	1/1/1998 0:00:00	1/1/2009 0:00:00	1690.00			3.00					
"Deil"	10057.00	1/1/1812 0:00:00	1/1/1978 0:00:00	217.00	217.00	5036.00	5.00	38.00	16.00	14257.00	43144.00	
"Delden"	11400.00	1/1/1812 0:00:00	7/1/1818 0:00:00				4.00					
"Delfshaven"	10908.00	1/1/1812 0:00:00	1/30/1886 0:00:00	1040.00		8202.00	8.00	84.00		9053.00	43607.00	
"Delft"	10928.00	1/1/1812 0:00:00	1/1/2009 0:00:00	503.00	503.00	8057.00	8.00	82.00	27.00	8496.00	44736.00	
"Delfzijl"	10976.00	1/1/1812 0:00:00	1/1/2009 0:00:00	10.00	10.00	1026.00	1.00	2.00	2.00	25899.00	59191.00	
"Den Bommel"	10293.00	1/1/1812 0:00:00	1/1/1966 0:00:00	1024.00	498.00	8178.00	8.00	92.00	18.00	7835.00	41211.00	
"Den Dungen"	10491.00	1/1/1812 0:00:00	1/1/1996 0:00:00	768.00	768.00	10123.00	10.00	110.00		15290.00	40918.00	
"Den Ham"	10395.00	1/1/1812 0:00:00	1/1/2001 0:00:00	159.00	159.00	4042.00	4.00	21.00	12.00	23299.00	49768.00	
"Den Helder"	10285.00	1/1/1812 0:00:00	1/1/2009 0:00:00	400.00	400.00	7096.00	7.00	52.00	18.00	11230.00	54865.00	
"Denekamp"	10245.00	7/1/1818 0:00:00	6/1/2002 0:00:00	149.00	149.00	4047.00	4.00	24.00	12.00	26220.00	49258.00	
"Deurne"	10379.00	1/1/1926 0:00:00	1/1/2009 0:00:00	762.00	762.00	10062.00	10.00	118.00	36.00	18546.00	38243.00	
"Deurne en Liessel"	10379.00	1/1/1812 0:00:00	1/1/1926 0:00:00	1041.00		10062.00	10.00	118.00	36.00	18546.00	38243.00	
"Deursen en Dennenburg"	10209.00	1/1/1812 0:00:00	5/1/1923 0:00:00	1042.00		10160.00	10.00	111.00		17059.00	42326.00	
"Deventer"	10899.00	1/1/1812 0:00:00	1/1/2009 0:00:00	150.00	150.00	4035.00	4.00	22.00	11.00	20765.00	47344.00	
"Didam"	10153.00	1/1/1812 0:00:00	1/1/2005 0:00:00	218.00	218.00	5066.00	5.00	26.00	15.00	20675.00	43993.00	
"Dieden, Demen en Langel"	11138.00	1/1/1812 0:00:00	5/1/1923 0:00:00	1043.00		10161.00	10.00	111.00		17037.00	42542.00	
"Diemen"	11039.00	1/1/1812 0:00:00	1/1/2009 0:00:00	384.00	384.00	7017.00	7.00	64.00		12771.00	48372.00	
"Diepenheim"	10311.00	1/1/1812 0:00:00	1/1/2001 0:00:00	151.00	151.00	4039.00	4.00	24.00	12.00	23665.00	46764.00	
"Diepenveen"	10933.00	1/1/1812 0:00:00	1/1/1999 0:00:00	152.00	152.00	4034.00	4.00	22.00	11.00	21159.00	47633.00	
"Dieren"	11355.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Diessen"	11185.00	1/1/1812 0:00:00	1/1/1997 0:00:00	763.00	763.00	10045.00	10.00	108.00	34.00	14122.00	38738.00	
"Diever"	10418.00	1/1/1812 0:00:00	1/1/1998 0:00:00	111.00	111.00	3020.00	3.00	17.00	9.00	21630.00	54256.00	
"Dinkelland"	10245.00	6/1/2002 0:00:00	1/1/2009 0:00:00	1774.00			4.00					
"Dinteloord en Prinsenland"	11193.00	1/1/1812 0:00:00	1/1/1997 0:00:00	764.00	764.00	10149.00	10.00	101.00	33.00	8268.00	40449.00	
"Dinther"	10690.00	1/1/1812 0:00:00	1/1/1969 0:00:00	1044.00	765.00	10140.00	10.00	112.00		16303.00	40780.00	
"Dinxperlo"	11154.00	1/1/1812 0:00:00	1/1/2005 0:00:00	219.00	219.00	5073.00	5.00	29.00	14.00	23132.00	43322.00	
"Dirksland"	11344.00	1/1/1812 0:00:00	1/1/2009 0:00:00	504.00	504.00	8170.00	8.00	92.00	29.00	6493.00	41796.00	
"Dodewaard"	10647.00	1/1/1818 0:00:00	1/1/2002 0:00:00	220.00	220.00	5054.00	5.00	37.00	16.00	17394.00	43624.00	
"Doesburg"	10327.00	1/1/1812 0:00:00	1/1/2009 0:00:00	221.00	221.00	5001.00	5.00	27.00	15.00	20647.00	44736.00	
"Doetinchem"	10396.00	1/1/1920 0:00:00	1/1/2009 0:00:00	222.00	222.00	5071.00	5.00	27.00	14.00	21900.00	44144.00	
"Dokkum"	10198.00	1/1/1812 0:00:00	1/1/1984 0:00:00	66.00	66.00	2040.00	2.00	12.00	4.00	19613.00	59270.00	
"Domburg"	10236.00	1/1/1816 0:00:00	1/1/1997 0:00:00	660.00	660.00	9003.00	9.00	96.00	32.00	2309.00	39707.00	
"Domburg-Binnen"	10236.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Domburg-Buiten"	10178.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Dommelen"	10424.00	1/1/1812 0:00:00	5/1/1934 0:00:00	1045.00		10162.00	10.00	117.00		15854.00	37329.00	
"Dongen"	11412.00	1/1/1812 0:00:00	1/1/2009 0:00:00	766.00	766.00	10099.00	10.00	108.00	34.00	12456.00	40490.00	
"Dongeradeel"	10198.00	1/1/1984 0:00:00	1/1/2009 0:00:00	58.00	58.00	2046.00	2.00	12.00	4.00			
"Doniawerstal"	10086.00	10/1/1816 0:00:00	1/1/1984 0:00:00	67.00	67.00	2024.00	2.00	10.00	5.00	17805.00	55205.00	
"Doorn"	10213.00	1/1/1812 0:00:00	1/1/2006 0:00:00	315.00	315.00	6032.00	6.00	44.00	17.00	15177.00	44999.00	
"Doornspijk"	10069.00	1/1/1812 0:00:00	1/1/1974 0:00:00	223.00	223.00	5105.00	5.00	32.00	13.00	18423.00	49404.00	
"Doorwerth"	11304.00	1/1/1818 0:00:00	5/1/1923 0:00:00	1046.00		5116.00	5.00	36.00		18215.00	44431.00	
"Dordrecht"	11157.00	1/1/1812 0:00:00	1/1/2009 0:00:00	505.00	505.00	8133.00	8.00	89.00	30.00	10630.00	42362.00	
"Dorth"	10061.00	1/1/1818 0:00:00	7/1/1831 0:00:00	1313.00		5117.00	5.00	28.00		21952.00	47107.00	
"Drachten"	10405.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Drechterland"	10642.00	1/1/1980 0:00:00	1/1/2009 0:00:00	498.00	498.00	7104.00	7.00	54.00	18.00	14044.00	52293.00	
"Dreischor"	10885.00	1/1/1812 0:00:00	1/1/1961 0:00:00	1047.00		9065.00	9.00	93.00		5745.00	41261.00	
"Dreumel"	11232.00	1/1/1812 0:00:00	1/1/1984 0:00:00	224.00	224.00	5017.00	5.00	41.00	16.00	15852.00	42881.00	
"Driebergen"	10777.00	1/1/1812 0:00:00	5/1/1931 0:00:00	1048.00		6031.00	6.00	44.00	17.00	14852.00	45196.00	
"Driebergen-Rijsenburg"	10777.00	5/1/1931 0:00:00	1/1/2006 0:00:00	316.00	316.00	6031.00	6.00	44.00	17.00	14852.00	45196.00	
"Driebruggen"	10830.00	2/1/1964 0:00:00	1/1/1989 0:00:00	506.00	506.00	8052.00	8.00	74.00	28.00	11825.00	45098.00	
"Driel"	10341.00	1/1/1812 0:00:00	8/1/1944 0:00:00	1248.00		5015.00	5.00	42.00		14944.00	41988.00	
"Driewegen"	11115.00	1/1/1812 0:00:00	1/1/1970 0:00:00	661.00	661.00	9029.00	9.00	97.00	32.00	4402.00	38208.00	
"Drimmelen"	10258.00	4/25/1998 0:00:00	1/1/2009 0:00:00	1719.00			10.00					
"Drongelen"	10111.00	8/1/1908 0:00:00	5/1/1923 0:00:00	1049.00		10163.00	10.00	105.00		13202.00	41487.00	
"Drongelen, Haagoort, Gansoijen en Doeveren"	10111.00	1/1/1812 0:00:00	8/1/1908 0:00:00	1263.00		10163.00	10.00	105.00		13202.00	41487.00	
"Dronrijp"	11315.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Dronten"	10210.00	1/1/1972 0:00:00	1/1/2009 0:00:00	303.00	303.00	12003.00	12.00	129.00	40.00			
"Drunen"	10428.00	1/1/1812 0:00:00	1/1/1997 0:00:00	767.00	767.00	10115.00	10.00	106.00	34.00	13768.00	40928.00	
"Druten"	10068.00	1/1/1812 0:00:00	1/1/2009 0:00:00	225.00	225.00	5020.00	5.00	41.00	15.00	17001.00	43250.00	
"Dubbeldam"	10781.00	1/1/1812 0:00:00	7/1/1970 0:00:00	507.00	507.00	8132.00	8.00	89.00	30.00	10688.00	41965.00	
"Duist"	10070.00	1/1/1818 0:00:00	9/8/1857 0:00:00	1314.00		6084.00	6.00	43.00		15465.00	46924.00	
"Duiveland"	11237.00	1/1/1961 0:00:00	1/1/1997 0:00:00	662.00	662.00	9069.00	9.00	93.00	32.00	6195.00	40807.00	
"Duiven"	11028.00	12/17/1813 0:00:00	1/1/2009 0:00:00	226.00	226.00	5062.00	5.00	26.00	15.00	19820.00	44000.00	
"Duivendijke"	10335.00	1/1/1812 0:00:00	1/1/1961 0:00:00	1050.00		9060.00	9.00	93.00		5041.00	41545.00	
"Duizel en Steensel"	11005.00	1/1/1812 0:00:00	1/1/1923 0:00:00	1051.00		10164.00	10.00	116.00		15134.00	37649.00	
"Durgerdam"	10947.00	5/1/1817 0:00:00	1/1/1818 0:00:00				7.00					
"Dussen"	10261.00	8/1/1908 0:00:00	1/1/1997 0:00:00	769.00	769.00	10104.00	10.00	105.00	34.00	12305.00	41844.00	
"Dussen, Munster en Muilkerk"	10261.00	1/1/1812 0:00:00	8/1/1908 0:00:00	1265.00		10104.00	10.00	105.00		12305.00	41844.00	
"Dwingeloo"	10331.00	1/1/1812 0:00:00	1/1/1998 0:00:00	112.00	112.00	3018.00	3.00	17.00	9.00	22226.00	53933.00	
"Echt"	10941.00	1/1/1812 0:00:00	1/1/2003 0:00:00	902.00	902.00	11067.00	11.00	122.00	38.00	19327.00	34461.00	
"Echteld"	10832.00	1/1/1818 0:00:00	1/1/2002 0:00:00	227.00	227.00	5052.00	5.00	37.00	16.00	16492.00	43526.00	
"Echt-Susteren"	10941.00	1/1/2003 0:00:00	1/1/2009 0:00:00	1711.00			11.00					
"Edam"	10884.00	1/1/1812 0:00:00	1/1/1975 0:00:00	1315.00		7068.00	7.00	57.00	23.00	13098.00	50254.00	
"Edam-Volendam"	10884.00	1/1/1975 0:00:00	1/1/2009 0:00:00	385.00	385.00	7068.00	7.00	57.00	23.00	13098.00	50254.00	
"Ede"	10743.00	1/1/1812 0:00:00	1/1/2009 0:00:00	228.00	228.00	5098.00	5.00	31.00	13.00	17995.00	45367.00	
"Ee"	11156.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Eede"	11128.00	1/1/1812 0:00:00	4/1/1941 0:00:00	1052.00		9087.00	9.00	98.00		2095.00	36472.00	
"Eelde"	10622.00	1/1/1812 0:00:00	1/1/1998 0:00:00	113.00	113.00	3032.00	3.00	14.00	7.00	23377.00	57462.00	
"Eemnes"	10248.00	1/1/1812 0:00:00	1/1/2009 0:00:00	317.00	317.00	6013.00	6.00	43.00	17.00	14732.00	47342.00	
"Eemsmond"	10246.00	1/1/1992 0:00:00	1/1/2009 0:00:00	1651.00			1.00					
"Eenrum"	10904.00	1/1/1812 0:00:00	1/1/1990 0:00:00	11.00	11.00	1034.00	1.00	1.00	3.00	22662.00	60048.00	
"Eersel"	10741.00	1/1/1812 0:00:00	1/1/2009 0:00:00	770.00	770.00	10050.00	10.00	116.00	36.00	14958.00	37348.00	
"Eethen"	10010.00	5/1/1923 0:00:00	1/1/1973 0:00:00	771.00	771.00	10112.00	10.00	105.00	34.00	13402.00	41640.00	
"Eethen, Genderen en Heesbeen"	10010.00	1/1/1812 0:00:00	5/8/1819 0:00:00				10.00					
"Egmond"	10421.00	7/1/1978 0:00:00	1/1/2001 0:00:00	357.00	357.00	7085.00	7.00	55.00	19.00	10577.00	51284.00	
"Egmond aan Zee"	10421.00	1/1/1812 0:00:00	7/1/1978 0:00:00	386.00	386.00	7007.00	7.00	55.00	19.00	10324.00	51489.00	
"Egmond-Binnen"	10989.00	1/1/1812 0:00:00	7/1/1978 0:00:00	387.00	387.00	7085.00	7.00	55.00	19.00	10577.00	51284.00	
"Eibergen"	10436.00	1/1/1812 0:00:00	1/1/2005 0:00:00	229.00	229.00	5084.00	5.00	30.00	14.00	24056.00	45432.00	
"Eijgelshoven"	10960.00	1/1/1812 0:00:00	1/1/1982 0:00:00	904.00	904.00	11003.00	11.00	125.00	39.00	20252.00	32327.00	
"Eijsden"	10314.00	1/1/1812 0:00:00	1/1/2009 0:00:00	905.00	905.00	11026.00	11.00	127.00	39.00	17815.00	31076.00	
"Eindhoven"	11298.00	1/1/1812 0:00:00	1/1/2009 0:00:00	772.00	772.00	10067.00	10.00	113.00	36.00	16055.00	38360.00	
"Elburg"	11113.00	1/1/1812 0:00:00	1/1/2009 0:00:00	230.00	230.00	5106.00	5.00	32.00	13.00	18563.00	49545.00	
"Elden"	11082.00	12/17/1813 0:00:00	1/1/1818 0:00:00				5.00					
"Elkerzee"	10184.00	1/1/1812 0:00:00	1/1/1961 0:00:00	1053.00		9059.00	9.00	93.00	32.00	4805.00	41605.00	
"Ellemeet"	10102.00	1/1/1812 0:00:00	1/1/1961 0:00:00	1054.00		9058.00	9.00	93.00	32.00	4692.00	41490.00	
"Ellewoutsdijk"	11300.00	1/1/1812 0:00:00	1/1/1970 0:00:00	663.00	663.00	9030.00	9.00	97.00		4632.00	38002.00	
"Elsloo"	11187.00	1/1/1812 0:00:00	1/1/1982 0:00:00	903.00	903.00	11058.00	11.00	124.00	39.00	18081.00	32928.00	
"Elst"	11188.00	1/1/1812 0:00:00	1/1/2001 0:00:00	231.00	231.00	5057.00	5.00	37.00	15.00	18665.00	43651.00	
"Elten"	10161.00	4/23/1949 0:00:00	8/1/1963 0:00:00	1055.00		5118.00	5.00	27.00	14.00			
"Emmen"	11180.00	1/1/1812 0:00:00	1/1/2009 0:00:00	114.00	114.00	3011.00	3.00	15.00	8.00	26116.00	53226.00	
"Emmikhoven"	10621.00	1/1/1812 0:00:00	7/15/1879 0:00:00	1056.00		10185.00	10.00	105.00		12564.00	41967.00	
"Empel en Meerwijk"	10295.00	1/1/1812 0:00:00	4/1/1971 0:00:00	773.00	773.00	10121.00	10.00	109.00		15028.00	41626.00	
"Engelen"	10322.00	1/1/1821 0:00:00	4/1/1971 0:00:00	774.00	774.00	10006.00	10.00	109.00		14564.00	41457.00	
"Enkhuizen"	10729.00	1/1/1812 0:00:00	1/1/2009 0:00:00	388.00	388.00	7033.00	7.00	54.00	18.00	14752.00	52519.00	
"Enschede"	10364.00	1/1/1812 0:00:00	1/1/2009 0:00:00	153.00	153.00	4054.00	4.00	23.00	12.00	25842.00	47083.00	
"Epe"	10940.00	1/1/1812 0:00:00	1/1/2009 0:00:00	232.00	232.00	5101.00	5.00	34.00	13.00	19438.00	48206.00	
"Ermelo"	10732.00	1/1/1812 0:00:00	1/1/2009 0:00:00	233.00	233.00	5108.00	5.00	32.00	13.00	17726.00	48127.00	
"Erp"	10385.00	1/1/1812 0:00:00	1/1/1994 0:00:00	775.00	775.00	10089.00	10.00	112.00		17009.00	40068.00	
"Esch"	10709.00	1/1/1812 0:00:00	1/1/1996 0:00:00	776.00	776.00	10007.00	10.00	110.00		14795.00	40325.00	
"Escharen"	10299.00	1/1/1812 0:00:00	7/1/1942 0:00:00	1057.00		10143.00	10.00	119.00		17892.00	41449.00	
"Est en Opijnen"	11092.00	1/1/1818 0:00:00	1/1/1978 0:00:00	234.00	234.00	5043.00	5.00	38.00	16.00	14930.00	42791.00	
"Etersheim"	11158.00	5/1/1817 0:00:00	1/1/1848 0:00:00	1316.00		7138.00	7.00	56.00		13018.00	51069.00	
"Etten [Ge]"	10107.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Etten en Leur"	10750.00	1/1/1812 0:00:00	1/1/1968 0:00:00	1251.00		10030.00	10.00	104.00		10302.00	39896.00	
"Etten-Leur"	10750.00	1/1/1968 0:00:00	1/1/2009 0:00:00	777.00	777.00	10030.00	10.00	104.00	33.00	10302.00	39896.00	
"Everdingen"	10638.00	1/1/1812 0:00:00	1/1/1986 0:00:00	508.00	508.00	8103.00	8.00	78.00	30.00	13801.00	44036.00	
"Eversdijk"	10920.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Ewijk"	10471.00	1/1/1812 0:00:00	1/1/1984 0:00:00	235.00	235.00	5024.00	5.00	41.00	15.00	17760.00	43076.00	
"Ezinge"	10136.00	1/1/1812 0:00:00	1/1/1990 0:00:00	12.00	12.00	1045.00	1.00	6.00	3.00	22686.00	59028.00	
"Ferwerd"	11345.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Ferwerderadeel"	11284.00	10/1/1816 0:00:00	1/1/1999 0:00:00	68.00	68.00	2039.00	2.00	12.00	4.00	18421.00	59278.00	
"Ferwerderadiel"	11284.00	1/1/1999 0:00:00	1/1/2009 0:00:00	1722.00			2.00					
"Fijnaart en Heijningen"	10206.00	1/1/1812 0:00:00	1/1/1997 0:00:00	778.00	778.00	10021.00	10.00	101.00	33.00	8981.00	40723.00	
"Finsterwolde"	10212.00	1/1/1812 0:00:00	1/1/1990 0:00:00	13.00	13.00	1021.00	1.00	3.00	1.00	27047.00	58084.00	
"Fort Bath"	11114.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Franeker"	11226.00	1/1/1812 0:00:00	1/1/1984 0:00:00	69.00	69.00	2008.00	2.00	12.00	4.00	16572.00	57695.00	
"Franekeradeel"	10404.00	10/1/1816 0:00:00	1/1/2009 0:00:00	70.00	70.00	2009.00	2.00	12.00	4.00	16475.00	57663.00	
"Gaasterland"	10036.00	10/1/1816 0:00:00	6/6/1985 0:00:00	71.00	71.00	2017.00	2.00	10.00	5.00	16560.00	54341.00	
"Gaasterlân-Sleat"	10036.00	6/6/1985 0:00:00	1/1/2009 0:00:00				2.00					
"Gameren"	10037.00	1/1/1812 0:00:00	7/1/1955 0:00:00	1058.00		5010.00	5.00	42.00		14122.00	42355.00	
"Gapinge"	10306.00	1/1/1812 0:00:00	10/2/1857 0:00:00	1317.00		9114.00	9.00	96.00		3327.00	39655.00	
"Garderen"	10717.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Gassel"	10705.00	1/1/1812 0:00:00	8/1/1942 0:00:00	1059.00		10145.00	10.00	119.00		18210.00	41589.00	
