"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Wymbritseradeel"	11427.00	10/1/1816 0:00:00	1/1/1986 0:00:00	101.00	101.00	2025.00	2.00	10.00	5.00	16995.00	55641.00	
"Wymbritseradiel"	11427.00	1/1/1986 0:00:00	1/1/2009 0:00:00	683.00	683.00	2025.00	2.00	10.00	5.00	16995.00	55641.00	
"Yerseke"	11247.00	1/1/1812 0:00:00	1/1/1970 0:00:00	729.00	729.00	9015.00	9.00	97.00	32.00	6129.00	38908.00	
"Zaamslag"	11173.00	1/1/1812 0:00:00	4/1/1970 0:00:00	731.00	731.00	9098.00	9.00	99.00	31.00	5143.00	37203.00	
"Zaandam"	11044.00	1/1/1812 0:00:00	1/1/1974 0:00:00	471.00	471.00	7073.00	7.00	58.00	22.00	11673.00	49649.00	
"Zaandijk"	11404.00	1/1/1812 0:00:00	1/1/1974 0:00:00	472.00	472.00	7005.00	7.00	58.00	22.00	11498.00	49870.00	
"Zaanstad"	11044.00	1/1/1974 0:00:00	1/1/2009 0:00:00	479.00	479.00	7073.00	7.00	58.00	22.00	11673.00	49649.00	
"Zalk en Veecaten"	10633.00	1/1/1812 0:00:00	1/1/1937 0:00:00	1232.00		4060.00	4.00	20.00		19602.00	50297.00	
"Zaltbommel"	10557.00	1/1/1812 0:00:00	1/1/2009 0:00:00	297.00	297.00	5009.00	5.00	42.00	16.00	14551.00	42396.00	
"Zandvoort"	10910.00	1/1/1812 0:00:00	1/1/2009 0:00:00	473.00	473.00	7110.00	7.00	61.00	21.00	9734.00	48555.00	
"Zeddam"	10003.00	1/1/1812 0:00:00	1/30/1820 0:00:00				5.00					
"Zederik"	10618.00	1/1/1986 0:00:00	1/1/2009 0:00:00	707.00	707.00	8108.00	8.00	78.00	30.00	12726.00	43716.00	
"Zeeland"	10759.00	1/1/1812 0:00:00	1/1/1994 0:00:00	877.00	877.00	10142.00	10.00	112.00		17531.00	41118.00	
"Zeelst"	10096.00	1/1/1812 0:00:00	5/1/1921 0:00:00	1233.00		10183.00	10.00	114.00		15587.00	38292.00	
